"","GEO_CODE","Lat","Long","Pop","Pop_male","Pop_female","Pop_16_26","Pop_32_39","Pop_40_52","Pop_53_65","Pop_66_76","Age_Moyen","Age_Median","Male_total","Female_total","Pop_Male_16_26","Pop_Female_16_26","Pop_Male_32_39","Pop_Female_32_39","Pop_Male_40_52","Pop_Female_40_52","Pop_Male_53_65","Pop_Female_53_65","Pop_Male_66_76","Pop_Female_66_76","sal_1","sal_2","sal_3","sal_4","sal_5","sal_6","sal_7","sal_8","sal_9","sal_10","sal_11","sal_1_m","sal_2_m","sal_3_m","sal_4_m","sal_5_m","sal_6_m","sal_7_m","sal_8_m","sal_9_m","sal_10_m","sal_11_m","sal_1_f","sal_2_f","sal_3_f","sal_4_f","sal_5_f","sal_6_f","sal_7_f","sal_8_f","sal_9_f","sal_10_f","sal_11_f","Total_Habitation","Propriétaire","Locataire","Condo","Celibataire","Conjoint_fait","Marie","Celibataire_M","Conjoint_fait_M","Marie_M","Celibataire_F","Conjoint_fait_F","Marie_F","Maison_Detache","Appartement","Bilingue","Couple_1","Couple_2","Couple_3"
"367","J6Z",45.668894309,-73.7744120482,18955,9185,9770,2620,1758,3824,3735,1692,39.9,41.9,9185,9770,1324,1300,810,945,1808,2016,1815,1916,824,877,1780,2165,2150,2265,1900,1430,1065,640,1295,350,195,735,815,865,1040,940,750,595,410,935,230,145,1045,1345,1280,1220,955,685,475,230,355,115,55,6195,1140,865,6125,3830,5555,2780,1915,2760,3340,1915,2790,7335,8090,1520,11265,955,1195,455
"368","J7A",45.6369965077,-73.796745652,14085,6975,7105,2018,895,2798,3094,1546,42.2,46,6975,7105,1061,964,403,492,1338,1468,1554,1552,773,780,1515,1610,1445,1375,1270,1110,805,535,1410,365,255,625,685,600,595,620,575,425,335,1000,240,170,885,935,840,785,645,535,375,195,405,120,85,4515,620,265,4350,2370,5030,2070,1190,2515,2280,1185,2515,5130,5395,640,9655,700,965,410
"369","J7B",45.6602238859,-73.815741491,13025,6415,6610,2188,720,3540,2123,671,38,41.9,6415,6610,1095,1092,293,425,1710,1820,1135,988,336,335,1375,1195,990,1060,980,835,750,535,1795,390,265,545,470,380,415,445,390,365,340,1315,280,175,825,720,610,645,540,440,385,195,480,115,90,3710,475,90,3820,2430,4155,1765,1210,2070,2055,1220,2085,4190,4015,450,8610,600,1185,430
"370","J7C",45.6889809755,-73.8670992111,41925,20670,21260,5953,4263,9106,7127,3111,37.5,39.2,20670,21260,3041,2910,2018,2248,4449,4649,3501,3618,1427,1680,3785,4830,4780,5180,4240,3240,2345,1345,2115,700,410,1560,1815,2010,2445,2125,1815,1410,880,1590,510,305,2225,3015,2770,2735,2110,1425,940,465,520,190,105,12395,3320,1725,12860,9030,11545,6105,4495,5760,6760,4530,5785,15705,16915,4570,21425,2075,2820,1100
"371","J7E",45.654458213,-73.8420441534,30475,14625,15855,4246,2740,4669,5471,3554,43.2,43.7,14625,15855,2182,2064,1412,1320,2215,2454,2578,2897,1578,1975,2710,4690,4500,4150,2830,1725,1085,580,985,320,210,1205,1850,1955,2040,1500,975,670,370,695,215,155,1510,2840,2550,2110,1335,750,415,210,285,105,60,6730,6620,2535,12565,5485,7655,5655,2720,3825,6910,2765,3830,13410,13725,8285,14000,1125,960,610
"372","J7G",45.6087484145,-73.8362088623,17220,8540,8675,2782,1559,3332,3512,1472,40,41.7,8540,8675,1462,1323,778,786,1603,1724,1714,1803,685,785,1735,2400,2350,2370,1780,1230,865,455,725,240,150,715,915,1060,1165,935,690,535,305,545,175,125,1015,1490,1290,1205,840,545,330,150,175,65,30,4915,2065,535,6325,3505,4690,3075,1735,2340,3255,1770,2345,6980,7920,2315,9295,880,1035,365
"373","J7H",45.6208745004,-73.8727965303,6980,3485,3490,1284,708,1463,1216,415,36.8,36.8,3485,3490,668,618,358,353,684,766,605,619,195,223,645,870,865,890,760,535,390,210,345,110,85,285,340,375,420,380,295,220,140,265,85,65,360,535,490,470,385,235,170,65,75,25,20,1840,965,585,2560,1550,1665,1275,770,830,1285,775,835,2750,3050,1130,3840,370,425,150
"374","J7J",45.7044762832,-73.9472427437,23010,11510,11500,3211,2834,4678,3506,1560,36.3,36.6,11510,11500,1615,1598,1379,1458,2373,2292,1750,1758,732,821,1805,2645,2940,3045,2635,1800,1260,630,725,315,165,745,1015,1225,1410,1405,1055,795,465,570,235,130,1055,1630,1715,1630,1230,750,465,165,150,80,35,6165,2995,850,7060,5830,5325,3440,2910,2675,3620,2925,2650,9145,9540,3990,9805,1165,1450,495
"375","J7K",45.7700277929,-73.6049437842,34960,16975,17990,4366,4447,6357,5606,3004,38.4,38.2,16975,17990,2152,2220,2108,2344,3136,3216,2699,2913,1397,1616,2635,3915,4260,4595,4030,2940,1870,880,965,420,225,1025,1365,1730,2145,2190,1725,1135,640,730,320,170,1605,2560,2535,2455,1840,1220,730,245,235,100,55,10575,3040,3145,10775,8140,9025,4785,4050,4520,5995,4090,4505,13610,14715,4815,14370,1690,2070,775
"376","J7L",45.7423503807,-73.6509355162,11730,6010,5725,1589,1225,2485,2106,973,38.7,40.3,6010,5725,849,740,596,626,1270,1218,1091,1012,497,476,1090,1515,1600,1490,1240,875,555,285,420,160,90,435,630,720,755,715,540,345,200,325,120,75,655,890,880,740,525,335,215,85,90,40,15,3660,625,175,3575,2835,3100,1900,1415,1550,1670,1415,1550,4290,4595,500,4905,625,730,320
